Tempo,Progresso,Peers Conectados,Peers Totais,Download,Upload
0.0,0.0,0,0.0,0 kB/s,0
10.0,0.0,0,1.48,0 kB/s,0
20.0,0.0,0,5.137254901960785,95 kB/s,0
30.0,0.0,2,29.46,994 kB/s,0
40.0,0.9,17,50.05882352941177,9.45 MB/s,0
50.0,4.0,43,50.04,9.83 MB/s,0
60.0,7.5,46,50.0,9.65 MB/s,0
61.0,9.4,49,50.0,9.95 MB/s,0
71.0,11.0,49,50.0,9.82 MB/s,0
81.0,13.5,49,50.0,8.64 MB/s,0
91.0,16.6,49,49.96078431372549,8.45 MB/s,0
101.0,19.0,49,50.1,8.97 MB/s,0
111.0,21.7,48,49.92156862745098,9.82 MB/s,0
121.0,25.3,46,50.06,9.84 MB/s,0
131.0,28.6,49,49.97142857142857,9.85 MB/s,0
132.0,31.0,48,50.0625,9.80 MB/s,0
142.0,32.2,47,49.84313725490196,9.98 MB/s,0
152.0,35.6,45,50.0,9.94 MB/s,0
162.0,39.0,46,50.0,9.99 MB/s,0
172.0,42.9,45,50.0,9.88 MB/s,0
182.0,46.2,44,50.0,9.98 MB/s,0
192.0,49.9,42,49.76,9.92 MB/s,0
202.0,53.2,42,49.578947368421055,9.92 MB/s,0
203.0,56.0,41,50.0,9.75 MB/s,0
212.0,56.9,43,50.0,9.90 MB/s,0
213.0,57.3,43,49.95652173913044,9.97 MB/s,0
222.0,60.6,44,50.0,8.61 MB/s,0
223.0,60.7,44,50.0,9.97 MB/s,0
233.0,64.2,48,50.0,9.56 MB/s,0
243.0,66.9,49,50.0,9.99 MB/s,0
253.0,70.3,49,50.0,9.31 MB/s,0
263.0,73.4,50,50.0,9.93 MB/s,0
273.0,76.8,49,49.80392156862745,9.98 MB/s,0
283.0,80.7,48,50.0,9.95 MB/s,0
284.0,81.6,48,50.0,9.73 MB/s,0
293.0,84.1,49,50.0,9.56 MB/s,0
294.0,84.9,49,50.0,9.90 MB/s,0
304.0,87.6,50,50.0,9.91 MB/s,0
314.0,91.1,49,49.94,9.76 MB/s,0
324.0,94.6,47,50.05882352941177,9.90 MB/s,0
334.0,97.8,47,50.0,9.51 MB/s,0
344.0,99.9,43,50.0,5.27 MB/s,0
